Datazone,Health Board,Council Area,Total population,People in households,People in communal establishments,Quintile,Decile,DEPCAT,Most deprived 15%,Least deprived 15%,Total population weight,% Overcrowding,% Male Unemployment,% No Car,% Low Social Class,Z-score overcrowding,Z-score male unemployment,Z-score no car,Z-score low social class,Carstairs score,Lower 95% uncertainty bound (random weights),Upper 95% uncertainty bound (random weights),Lower 95% confidence interval,Upper 95% confidence interval 
S01000001,Grampian,Aberdeen City,872,852,20,4,7,3,0,0,0.000164671,2.582159624,3.249097473,12.67605634,12.12121212,-0.247616727,-0.902702635,-0.592521478,-0.661007093,-2.403847933,-2.978419292,-1.783389688,-2.893814417,-1.781615778
S01000002,Grampian,Aberdeen City,678,678,0,5,10,2,0,1,0.000128036,0.737463127,3.524229075,3.392330383,9.159159159,-0.925486147,-0.856721505,-1.141316993,-0.951309166,-3.874833811,-4.154026143,-3.63219098,-4.290101779,-3.283753128
S01000003,Grampian,Aberdeen City,788,788,0,5,10,1,0,1,0.000148808,0.634517766,1.644736842,3.807106599,6.510416667,-0.963315412,-1.170830017,-1.11679803,-1.210904605,-4.461848064,-4.677058909,-4.203032217,-4.704854631,-4.002480975
S01000004,Grampian,Aberdeen City,612,612,0,5,9,2,0,1,0.000115572,1.797385621,2.926829268,4.08496732,7.855973813,-0.535997119,-0.95656143,-1.100372651,-1.079030518,-3.671961718,-4.168457911,-3.037746563,-4.123582184,-3.058737744
S01000005,Grampian,Aberdeen City,643,643,0,5,10,2,0,1,0.000121426,0.777604977,2.145922747,7.931570762,8.227848101,-0.910735248,-1.087069756,-0.872985638,-1.042584216,-3.913374858,-4.133596736,-3.695275594,-4.249956923,-3.36334123
S01000006,Grampian,Aberdeen City,644,577,67,4,8,3,0,0,0.000121615,1.039861352,2.976190476,13.6915078,15.59139785,-0.814364069,-0.948311981,-0.532494371,-0.320904425,-2.616074846,-3.28090364,-1.978704494,-3.100814315,-1.899251563
S01000007,Grampian,Aberdeen City,751,749,2,5,9,2,0,0,0.000141821,1.068090788,5.347593583,6.408544726,7.734056988,-0.803990616,-0.55199329,-0.963017363,-1.090979226,-3.409980495,-3.904880337,-2.842699085,-3.974885336,-2.716666821
S01000008,Grampian,Aberdeen City,580,580,0,4,7,3,0,0,0.000109529,0.862068966,5,15.17241379,15.27777778,-0.879697321,-0.610084567,-0.444952519,-0.351641403,-2.28637581,-2.830233911,-1.799556414,-2.854246439,-1.499239652
S01000009,Grampian,Aberdeen City,681,681,0,4,8,3,0,0,0.000128602,0.881057269,1.809954751,11.01321586,16.79049034,-0.872719702,-1.143218117,-0.690818153,-0.203384907,-2.910140879,-3.787953488,-1.995078003,-3.302506826,-2.307755254
S01000010,Grampian,Aberdeen City,514,514,0,5,9,2,0,0,9.71E-05,0.972762646,1.685393258,7.19844358,13.81322957,-0.839020786,-1.164035348,-0.916323508,-0.495177453,-3.414557096,-4.052316649,-2.800427711,-3.804733871,-2.784076004
S01000011,Grampian,Aberdeen City,1043,940,103,5,10,1,0,1,0.000196963,0.744680851,1.094890511,1.808510638,3.426124197,-0.922833855,-1.262722609,-1.234942459,-1.513187012,-4.933685935,-5.44102575,-4.404238309,-5.106372933,-4.516535786
S01000012,Grampian,Aberdeen City,1528,1528,0,5,9,2,0,1,0.000288552,2.552356021,1.677148847,3.534031414,8.204438467,-0.258568638,-1.165413188,-1.132940519,-1.044878525,-3.60180087,-4.414746703,-2.53721747,-3.887444863,-3.138213725
S01000013,Grampian,Aberdeen City,836,836,0,4,8,3,0,0,0.000157873,1.435406699,1.754385965,11.96172249,18.8494492,-0.669013278,-1.152505002,-0.634748404,-0.001592423,-2.457859106,-3.54404979,-1.378861024,-2.861588655,-1.886814792
S01000014,Grampian,Aberdeen City,881,881,0,4,8,3,0,0,0.000166371,1.475595914,2.545454545,7.491486947,13.59447005,-0.654244973,-1.020298351,-0.899000627,-0.516617429,-3.090161379,-3.625966848,-2.586885012,-3.458467376,-2.536381989
