"DZ_CODE","UR2FOLD","UR6FOLD","UR8FOLD"
"S01000002",1,1,1
"S01000003",1,1,1
"S01000004",1,1,1
"S01000009",1,1,1
"S01000010",1,1,1
"S01000012",1,1,1
"S01000014",1,1,1
"S01000015",1,1,1
"S01000017",1,1,1
"S01000018",1,1,1
"S01000020",1,1,1
"S01000021",1,1,1
"S01000022",1,1,1
"S01000025",1,1,1
"S01000026",1,1,1
"S01000027",1,1,1
"S01000028",1,1,1
"S01000029",1,1,1
"S01000030",1,1,1
"S01000031",1,1,1
"S01000032",1,1,1
"S01000033",1,1,1
"S01000034",1,1,1
"S01000035",1,1,1
"S01000036",1,1,1
"S01000037",1,1,1
"S01000038",1,1,1
"S01000039",1,1,1
"S01000040",1,1,1
"S01000041",1,1,1
"S01000042",1,1,1
"S01000043",1,1,1
"S01000044",1,1,1
"S01000045",1,1,1
"S01000046",1,1,1
"S01000047",1,1,1
"S01000048",1,1,1
"S01000049",1,1,1
"S01000050",1,1,1
"S01000051",1,1,1
"S01000052",1,1,1
"S01000053",1,1,1
"S01000054",1,1,1
"S01000055",1,1,1
"S01000056",1,1,1
"S01000057",1,1,1
"S01000058",1,1,1
"S01000059",1,1,1
"S01000060",1,1,1
"S01000061",1,1,1
"S01000062",1,1,1
"S01000063",1,1,1
"S01000064",1,1,1
"S01000065",1,1,1
"S01000066",1,1,1
"S01000067",1,1,1
"S01000068",1,1,1
"S01000069",1,1,1
"S01000070",1,1,1
"S01000071",1,1,1
"S01000072",1,1,1
"S01000073",1,1,1
"S01000074",1,1,1
"S01000075",1,1,1
"S01000076",1,1,1
"S01000077",1,1,1
"S01000078",1,1,1
"S01000079",1,1,1
"S01000080",1,1,1
"S01000081",1,1,1
"S01000082",1,1,1
"S01000083",1,1,1
"S01000084",1,1,1
"S01000085",1,1,1
"S01000086",1,1,1
"S01000087",1,1,1
"S01000088",1,1,1
"S01000089",1,1,1
"S01000090",1,1,1
"S01000091",1,1,1
"S01000092",1,1,1
"S01000093",1,1,1
"S01000094",1,1,1
"S01000095",1,1,1
"S01000096",1,1,1
"S01000097",1,1,1
"S01000098",1,1,1
"S01000099",1,1,1
"S01000100",1,1,1
"S01000101",1,1,1
"S01000102",1,1,1
"S01000103",1,1,1
"S01000104",1,1,1
"S01000105",1,1,1
"S01000106",1,1,1
"S01000107",1,1,1
"S01000108",1,1,1
"S01000109",1,1,1
"S01000110",1,1,1
"S01000111",1,1,1
"S01000112",1,1,1
"S01000113",1,1,1
"S01000114",1,1,1
"S01000115",1,1,1
"S01000116",1,1,1
"S01000117",1,1,1
"S01000118",1,1,1
"S01000119",1,1,1
"S01000120",1,1,1
"S01000121",1,1,1
"S01000122",1,1,1
"S01000124",1,1,1
"S01000125",1,1,1
"S01000126",1,1,1
"S01000127",1,1,1
"S01000128",1,1,1
"S01000129",1,1,1
"S01000130",1,1,1
"S01000131",1,1,1
"S01000132",1,1,1
"S01000133",1,1,1
"S01000134",1,1,1
"S01000135",1,1,1
"S01000136",1,1,1
"S01000137",1,1,1
"S01000138",1,1,1
"S01000139",1,1,1
"S01000140",1,1,1
"S01000141",1,1,1
"S01000142",1,1,1
"S01000144",1,1,1
"S01000145",1,1,1
"S01000146",1,1,1
"S01000147",1,1,1
"S01000148",1,1,1
"S01000149",1,1,1
"S01000150",1,1,1
"S01000151",1,1,1
"S01000152",1,1,1
"S01000153",1,1,1
"S01000154",1,1,1
"S01000155",1,1,1
"S01000156",1,1,1
"S01000157",1,1,1
"S01000158",1,1,1
"S01000160",1,1,1
"S01000161",1,1,1
"S01000162",1,1,1
"S01000163",1,1,1
"S01000164",1,1,1
"S01000165",1,1,1
"S01000166",1,1,1
"S01000167",1,1,1
"S01000168",1,1,1
"S01000169",1,1,1
"S01000170",1,1,1
"S01000172",1,1,1
"S01000173",1,1,1
"S01000175",1,1,1
"S01000176",1,1,1
"S01000177",1,1,1
"S01000178",1,1,1
"S01000179",1,1,1
"S01000180",1,1,1
"S01000181",1,1,1
"S01000182",1,1,1
"S01000183",1,1,1
"S01000184",1,1,1
"S01000185",1,1,1
"S01000186",1,1,1
"S01000187",1,1,1
"S01000188",1,1,1
"S01000189",1,1,1
"S01000190",1,1,1
"S01000191",1,1,1
"S01000192",1,1,1
"S01000193",1,1,1
"S01000194",1,1,1
"S01000195",1,1,1
"S01000196",1,1,1
"S01000197",1,1,1
"S01000198",1,1,1
"S01000199",1,1,1
"S01000200",1,1,1
"S01000201",1,1,1
"S01000202",1,1,1
"S01000203",1,1,1
"S01000204",1,1,1
"S01000205",1,1,1
"S01000206",1,1,1
"S01000207",1,1,1
"S01000208",1,1,1
"S01000209",1,1,1
"S01000210",1,1,1
"S01000211",1,1,1
"S01000212",1,1,1
"S01000213",1,1,1
"S01000214",1,1,1
"S01000215",1,1,1
"S01000216",1,1,1
"S01000217",1,1,1
"S01000218",1,1,1
"S01000219",1,1,1
"S01000220",1,1,1
"S01000221",1,1,1
"S01000222",1,1,1
"S01000223",1,1,1
"S01000224",1,1,1
"S01000225",1,1,1
"S01000226",1,1,1
"S01000227",1,1,1
"S01000228",1,1,1
"S01000229",1,1,1
"S01000230",1,1,1
"S01000231",1,1,1
"S01000232",1,1,1
"S01000233",1,1,1
"S01000234",1,1,1
"S01000235",1,1,1
"S01000236",1,1,1
"S01000237",1,1,1
"S01000238",1,1,1
"S01000239",1,1,1
"S01000240",1,1,1
"S01000241",1,1,1
"S01000242",1,1,1
"S01000243",1,1,1
"S01000244",1,1,1
"S01000245",1,1,1
"S01000246",1,1,1
"S01000247",1,1,1
"S01000248",1,1,1
"S01000249",1,1,1
"S01000250",1,1,1
"S01000251",1,1,1
"S01000252",1,1,1
"S01000253",1,1,1
"S01000254",1,1,1
"S01000255",1,1,1
"S01000256",1,1,1
"S01000257",1,1,1
"S01000258",1,1,1
"S01000259",1,1,1
"S01000260",1,1,1
"S01000261",1,1,1
"S01000262",1,1,1
"S01000263",1,1,1
"S01000264",1,1,1
"S01000265",1,1,1
"S01000266",1,1,1
"S01000267",1,1,1
"S01000569",1,1,1
"S01000570",1,1,1
"S01000571",1,1,1
"S01000572",1,1,1
"S01000573",1,1,1
"S01000574",1,1,1
"S01000575",1,1,1
"S01000576",1,1,1
"S01000577",1,1,1
"S01000578",1,1,1
"S01000579",1,1,1
"S01001090",1,1,1
"S01001091",1,1,1
"S01001092",1,1,1
"S01001093",1,1,1
"S01001094",1,1,1
"S01001095",1,1,1
"S01001096",1,1,1
"S01001097",1,1,1
"S01001098",1,1,1
"S01001099",1,1,1
"S01001100",1,1,1
"S01001101",1,1,1
"S01001102",1,1,1
"S01001103",1,1,1
"S01001104",1,1,1
"S01001105",1,1,1
"S01001106",1,1,1
"S01001107",1,1,1
"S01001108",1,1,1
"S01001109",1,1,1
"S01001110",1,1,1
"S01001111",1,1,1
"S01001112",1,1,1
"S01001113",1,1,1
"S01001114",1,1,1
"S01001115",1,1,1
"S01001116",1,1,1
"S01001117",1,1,1
"S01001118",1,1,1
"S01001119",1,1,1
"S01001120",1,1,1
"S01001121",1,1,1
"S01001122",1,1,1
"S01001123",1,1,1
"S01001124",1,1,1
"S01001125",1,1,1
"S01001126",1,1,1
"S01001127",1,1,1
"S01001128",1,1,1
"S01001129",1,1,1
"S01001130",1,1,1
"S01001131",1,1,1
"S01001132",1,1,1
"S01001133",1,1,1
"S01001134",1,1,1
"S01001135",1,1,1
"S01001136",1,1,1
"S01001137",1,1,1
"S01001138",1,1,1
"S01001139",1,1,1
"S01001140",1,1,1
"S01001141",1,1,1
"S01001142",1,1,1
"S01001143",1,1,1
"S01001144",1,1,1
"S01001145",1,1,1
"S01001146",1,1,1
"S01001147",1,1,1
"S01001148",1,1,1
"S01001149",1,1,1
"S01001150",1,1,1
"S01001151",1,1,1
"S01001152",1,1,1
"S01001153",1,1,1
"S01001154",1,1,1
"S01001155",1,1,1
"S01001156",1,1,1
"S01001157",1,1,1
"S01001158",1,1,1
"S01001159",1,1,1
"S01001160",1,1,1
"S01001161",1,1,1
"S01001162",1,1,1
"S01001163",1,1,1
"S01001164",1,1,1
"S01001165",1,1,1
"S01001166",1,1,1
"S01001167",1,1,1
"S01001168",1,1,1
"S01001169",1,1,1
"S01001170",1,1,1
"S01001171",1,1,1
"S01001172",1,1,1
"S01001173",1,1,1
"S01001174",1,1,1
"S01001175",1,1,1
"S01001176",1,1,1
"S01001177",1,1,1
"S01001178",1,1,1
"S01001179",1,1,1
"S01001180",1,1,1
"S01001181",1,1,1
"S01001182",1,1,1
"S01001183",1,1,1
"S01001184",1,1,1
"S01001185",1,1,1
"S01001186",1,1,1
"S01001187",1,1,1
"S01001188",1,1,1
"S01001189",1,1,1
"S01001190",1,1,1
"S01001191",1,1,1
"S01001192",1,1,1
"S01001193",1,1,1
"S01001194",1,1,1
"S01001195",1,1,1
"S01001196",1,1,1
"S01001197",1,1,1
"S01001198",1,1,1
"S01001199",1,1,1
"S01001200",1,1,1
"S01001201",1,1,1
"S01001202",1,1,1
"S01001203",1,1,1
"S01001204",1,1,1
"S01001205",1,1,1
"S01001206",1,1,1
"S01001207",1,1,1
"S01001208",1,1,1
"S01001209",1,1,1
"S01001210",1,1,1
"S01001211",1,1,1
"S01001212",1,1,1
"S01001213",1,1,1
"S01001214",1,1,1
"S01001215",1,1,1
"S01001216",1,1,1
"S01001217",1,1,1
"S01001218",1,1,1
"S01001219",1,1,1
"S01001220",1,1,1
"S01001221",1,1,1
"S01001222",1,1,1
"S01001223",1,1,1
"S01001224",1,1,1
"S01001225",1,1,1
"S01001226",1,1,1
"S01001227",1,1,1
"S01001228",1,1,1
"S01001229",1,1,1
"S01001230",1,1,1
"S01001231",1,1,1
"S01001233",1,1,1
"S01001234",1,1,1
"S01001235",1,1,1
"S01001236",1,1,1
"S01001237",1,1,1
"S01001238",1,1,1
"S01001239",1,1,1
"S01001240",1,1,1
"S01001241",1,1,1
"S01001242",1,1,1
"S01001243",1,1,1
"S01001244",1,1,1
"S01001245",1,1,1
"S01001246",1,1,1
"S01001247",1,1,1
"S01001248",1,1,1
"S01001249",1,1,1
"S01001250",1,1,1
"S01001251",1,1,1
"S01001252",1,1,1
"S01001253",1,1,1
"S01001254",1,1,1
"S01001255",1,1,1
"S01001256",1,1,1
"S01001257",1,1,1
"S01001258",1,1,1
"S01001259",1,1,1
"S01001260",1,1,1
"S01001261",1,1,1
"S01001262",1,1,1
"S01001263",1,1,1
"S01001264",1,1,1
"S01001265",1,1,1
"S01001266",1,1,1
"S01001267",1,1,1
"S01001268",1,1,1
"S01001423",1,1,1
"S01001424",1,1,1
"S01001425",1,1,1
"S01001426",1,1,1
"S01001427",1,1,1
"S01001428",1,1,1
"S01001429",1,1,1
"S01001430",1,1,1
"S01001431",1,1,1
"S01001432",1,1,1
"S01001433",1,1,1
"S01001434",1,1,1
"S01001435",1,1,1
"S01001436",1,1,1
"S01001437",1,1,1
"S01001438",1,1,1
"S01001439",1,1,1
"S01001440",1,1,1
"S01001441",1,1,1
"S01001442",1,1,1
"S01001443",1,1,1
"S01001444",1,1,1
"S01001445",1,1,1
"S01001446",1,1,1
"S01001447",1,1,1
"S01001448",1,1,1
"S01001449",1,1,1
"S01001450",1,1,1
"S01001451",1,1,1
"S01001452",1,1,1
"S01001454",1,1,1
"S01001455",1,1,1
"S01001456",1,1,1
"S01001458",1,1,1
"S01001459",1,1,1
"S01001460",1,1,1
"S01001461",1,1,1
"S01001462",1,1,1
"S01001463",1,1,1
"S01001465",1,1,1
"S01001466",1,1,1
"S01001468",1,1,1
"S01001469",1,1,1
"S01001470",1,1,1
"S01001473",1,1,1
"S01001475",1,1,1
"S01001476",1,1,1
"S01001481",1,1,1
"S01001482",1,1,1
"S01001483",1,1,1
"S01001484",1,1,1
"S01001486",1,1,1
"S01001488",1,1,1
"S01001489",1,1,1
"S01001491",1,1,1
"S01001495",1,1,1
"S01001496",1,1,1
"S01001498",1,1,1
"S01001501",1,1,1
"S01001507",1,1,1
"S01001508",1,1,1
"S01001511",1,1,1
"S01001515",1,1,1
"S01001517",1,1,1
"S01001518",1,1,1
"S01001519",1,1,1
"S01001521",1,1,1
"S01001523",1,1,1
"S01001526",1,1,1
"S01001527",1,1,1
"S01001529",1,1,1
"S01001530",1,1,1
"S01001532",1,1,1
"S01001533",1,1,1
"S01001534",1,1,1
"S01001538",1,1,1
"S01001540",1,1,1
"S01001561",1,1,1
"S01001563",1,1,1
"S01001564",1,1,1
"S01001565",1,1,1
"S01001566",1,1,1
"S01001568",1,1,1
"S01001570",1,1,1
